,Kernel,C,Gamma,Result
0,linear,0.01,scale,0.9076923076923077
1,linear,0.1,scale,0.9076923076923077
2,linear,1.0,scale,0.9076923076923077
3,linear,10.0,scale,0.9076923076923077
4,linear,100.0,scale,0.9076923076923077
5,linear,1000.0,scale,0.9076923076923077
6,rbf,0.01,scale,0.12307692307692308
7,rbf,0.01,auto,0.12307692307692308
8,rbf,0.01,0.1,0.12307692307692308
9,rbf,0.01,1.0,0.12307692307692308
10,rbf,0.01,1.0,0.12307692307692308
11,rbf,0.01,10.0,0.12307692307692308
12,rbf,0.1,scale,0.4153846153846154
13,rbf,0.1,auto,0.36923076923076925
14,rbf,0.1,0.1,0.5230769230769231
15,rbf,0.1,1.0,0.3230769230769231
16,rbf,0.1,1.0,0.3230769230769231
17,rbf,0.1,10.0,0.3230769230769231
18,rbf,1.0,scale,0.7538461538461538
19,rbf,1.0,auto,0.5076923076923077
20,rbf,1.0,0.1,0.7846153846153846
21,rbf,1.0,1.0,0.3230769230769231
22,rbf,1.0,1.0,0.3230769230769231
23,rbf,1.0,10.0,0.3230769230769231
24,rbf,10.0,scale,0.9076923076923077
25,rbf,10.0,auto,0.8923076923076924
26,rbf,10.0,0.1,0.8307692307692308
27,rbf,10.0,1.0,0.35384615384615387
28,rbf,10.0,1.0,0.35384615384615387
29,rbf,10.0,10.0,0.3230769230769231
30,rbf,100.0,scale,0.9076923076923077
31,rbf,100.0,auto,0.9076923076923077
32,rbf,100.0,0.1,0.8307692307692308
33,rbf,100.0,1.0,0.35384615384615387
34,rbf,100.0,1.0,0.35384615384615387
35,rbf,100.0,10.0,0.3230769230769231
36,rbf,1000.0,scale,0.9076923076923077
37,rbf,1000.0,auto,0.9076923076923077
38,rbf,1000.0,0.1,0.8307692307692308
39,rbf,1000.0,1.0,0.35384615384615387
40,rbf,1000.0,1.0,0.35384615384615387
41,rbf,1000.0,10.0,0.3230769230769231
42,poly,0.01,scale,0.26153846153846155
43,poly,0.01,auto,0.12307692307692308
44,poly,0.01,0.1,0.9076923076923077
45,poly,0.01,1.0,0.9076923076923077
46,poly,0.01,1.0,0.9076923076923077
47,poly,0.01,10.0,0.9076923076923077
48,poly,0.1,scale,0.26153846153846155
49,poly,0.1,auto,0.36923076923076925
50,poly,0.1,0.1,0.9076923076923077
51,poly,0.1,1.0,0.9076923076923077
52,poly,0.1,1.0,0.9076923076923077
53,poly,0.1,10.0,0.9076923076923077
54,poly,1.0,scale,0.5076923076923077
55,poly,1.0,auto,0.26153846153846155
56,poly,1.0,0.1,0.9076923076923077
57,poly,1.0,1.0,0.9076923076923077
58,poly,1.0,1.0,0.9076923076923077
59,poly,1.0,10.0,0.9076923076923077
60,poly,10.0,scale,0.8461538461538461
61,poly,10.0,auto,0.47692307692307695
62,poly,10.0,0.1,0.9076923076923077
63,poly,10.0,1.0,0.9076923076923077
64,poly,10.0,1.0,0.9076923076923077
65,poly,10.0,10.0,0.9076923076923077
66,poly,100.0,scale,0.9076923076923077
67,poly,100.0,auto,0.8153846153846154
68,poly,100.0,0.1,0.9076923076923077
69,poly,100.0,1.0,0.9076923076923077
70,poly,100.0,1.0,0.9076923076923077
71,poly,100.0,10.0,0.9076923076923077
72,poly,1000.0,scale,0.9076923076923077
73,poly,1000.0,auto,0.9076923076923077
74,poly,1000.0,0.1,0.9076923076923077
75,poly,1000.0,1.0,0.9076923076923077
76,poly,1000.0,1.0,0.9076923076923077
77,poly,1000.0,10.0,0.9076923076923077
78,sigmoid,0.01,scale,0.12307692307692308
79,sigmoid,0.01,auto,0.12307692307692308
80,sigmoid,0.01,0.1,0.12307692307692308
81,sigmoid,0.01,1.0,0.12307692307692308
82,sigmoid,0.01,1.0,0.12307692307692308
83,sigmoid,0.01,10.0,0.12307692307692308
84,sigmoid,0.1,scale,0.4307692307692308
85,sigmoid,0.1,auto,0.35384615384615387
86,sigmoid,0.1,0.1,0.3076923076923077
87,sigmoid,0.1,1.0,0.3076923076923077
88,sigmoid,0.1,1.0,0.3076923076923077
89,sigmoid,0.1,10.0,0.3076923076923077
90,sigmoid,1.0,scale,0.36923076923076925
91,sigmoid,1.0,auto,0.3076923076923077
92,sigmoid,1.0,0.1,0.12307692307692308
93,sigmoid,1.0,1.0,0.12307692307692308
94,sigmoid,1.0,1.0,0.12307692307692308
95,sigmoid,1.0,10.0,0.12307692307692308
96,sigmoid,10.0,scale,0.7692307692307693
97,sigmoid,10.0,auto,0.8461538461538461
98,sigmoid,10.0,0.1,0.12307692307692308
99,sigmoid,10.0,1.0,0.12307692307692308
100,sigmoid,10.0,1.0,0.12307692307692308
101,sigmoid,10.0,10.0,0.12307692307692308
102,sigmoid,100.0,scale,0.8
103,sigmoid,100.0,auto,0.9076923076923077
104,sigmoid,100.0,0.1,0.12307692307692308
105,sigmoid,100.0,1.0,0.12307692307692308
106,sigmoid,100.0,1.0,0.12307692307692308
107,sigmoid,100.0,10.0,0.12307692307692308
108,sigmoid,1000.0,scale,0.676923076923077
109,sigmoid,1000.0,auto,0.9076923076923077
110,sigmoid,1000.0,0.1,0.12307692307692308
111,sigmoid,1000.0,1.0,0.12307692307692308
112,sigmoid,1000.0,1.0,0.12307692307692308
113,sigmoid,1000.0,10.0,0.12307692307692308
